date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23522.4,23514.1,14:14,14:15,8.30000000000291,23522.4,23504.139999999996,14:19,23490.05,141.45,14:20,23482.35,145.3,TP,3.8500000000000227,250.25000000000148,65
2026-05-13,NIFTY,2026-05-19,PE,23300,-4,23516.35,23491.9,14:24,14:25,24.44999999999709,23516.35,23462.560000000005,14:28,23488.55,140.0,14:45,23448.4,155.35,EOD,15.349999999999994,997.7499999999997,65
2026-05-14,NIFTY,2026-05-19,CE,23700,2,23581.25,23564.3,09:25,09:26,16.950000000000728,23564.3,23601.59,09:30,23581.35,152.2,09:35,23565.5,138.05,SL,-14.149999999999977,-919.7499999999985,65
2026-05-14,NIFTY,2026-05-19,PE,23400,-3,23569.95,23538.95,09:36,09:37,31.0,23569.95,23501.75,09:40,23525.75,137.9,09:45,23499.0,148.75,TP,10.849999999999994,705.2499999999997,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-3,23500.7,23489.15,09:50,09:51,11.549999999999272,23500.7,23475.29,09:54,23482.1,136.85,09:55,23473.2,138.2,TP,1.3499999999999943,87.74999999999963,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23475.35,23452.85,09:56,09:57,22.5,23475.35,23425.85,09:59,23450.8,148.2,10:03,23490.8,132.8,SL,-15.399999999999977,-1000.9999999999985,65
2026-05-14,NIFTY,2026-05-19,PE,23350,-2,23484.95,23464.75,10:06,10:07,20.200000000000728,23484.95,23440.51,10:09,23464.45,143.0,10:10,23483.85,134.6,SL,-8.400000000000006,-546.0000000000003,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23490.7,23472.2,10:11,10:12,18.5,23472.2,23512.9,10:15,23496.8,133.0,10:20,23515.35,136.9,TP,3.9000000000000057,253.50000000000037,65
2026-05-14,NIFTY,2026-05-19,CE,23600,2,23489.1,23473.25,10:22,10:23,15.849999999998545,23473.25,23508.119999999995,10:25,23495.95,150.5,10:28,23510.6,157.0,TP,6.5,422.5,65
2026-05-14,NIFTY,2026-05-19,CE,23650,3,23517.45,23505.25,10:29,10:30,12.200000000000728,23505.25,23532.09,10:35,23520.2,139.9,10:36,23531.75,142.25,TP,2.3499999999999943,152.74999999999963,65
2026-05-14,NIFTY,2026-05-19,CE,23600,3,23456.6,23426.55,10:49,10:50,30.049999999999272,23426.55,23492.659999999996,10:52,23462.15,133.3,11:19,23494.6,141.05,TP,7.75,503.75,65
2026-05-14,NIFTY,2026-05-19,PE,23450,-1,23549.25,23530.45,11:24,11:25,18.799999999999272,23549.25,23507.890000000003,11:27,23521.1,143.75,11:29,23574.1,124.7,SL,-19.049999999999997,-1238.2499999999998,65
2026-05-14,NIFTY,2026-05-19,CE,23700,2,23589.1,23569.95,11:31,11:32,19.149999999997817,23569.95,23612.079999999994,11:34,23603.85,149.25,11:36,23621.2,154.6,TP,5.349999999999994,347.74999999999966,65
2026-05-14,NIFTY,2026-05-19,CE,23750,2,23618.85,23600.9,11:37,11:38,17.94999999999709,23600.9,23640.389999999996,11:40,23629.15,134.9,11:42,23647.5,144.35,TP,9.449999999999989,614.2499999999993,65
2026-05-14,NIFTY,2026-05-19,CE,23800,2,23669.45,23643.3,11:43,11:44,26.150000000001455,23643.3,23700.83,11:49,23675.15,140.15,11:53,23692.15,149.2,TP,9.049999999999983,588.2499999999989,65
2026-05-14,NIFTY,2026-05-19,PE,23550,-2,23687.55,23666.9,11:55,11:56,20.649999999997817,23687.55,23642.120000000003,12:02,23658.95,141.15,12:11,23641.35,145.45,TP,4.299999999999983,279.49999999999886,65
2026-05-14,NIFTY,2026-05-19,CE,23800,3,23653.2,23641.15,12:12,12:13,12.049999999999272,23641.15,23667.66,12:15,23667.95,135.9,12:16,23677.95,140.75,TP,4.849999999999994,315.24999999999966,65
2026-05-14,NIFTY,2026-05-19,PE,23600,-2,23708.1,23689.55,12:17,12:18,18.549999999999272,23708.1,23667.29,12:20,23682.6,148.5,12:23,23690.95,143.85,EOD,-4.650000000000006,-302.25000000000034,65
