instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price
NIFTY,sell,STRADDLE,25850.0,MONTH,2,2026-02-12 12:51:00+05:30,784.5,1,1,784.5,2026-02-12 13:13:00+05:30,775.3499999999999,TARGET,9.150000000000091,1.166347992351828,686.2500000000068,75,CLOSED,25850.0,25850.0,502.0,282.5,489.7,285.65
NIFTY,sell,STRADDLE,25850.0,MONTH,2,2026-02-12 13:18:00+05:30,789.65,1,1,789.65,2026-02-12 13:22:00+05:30,774.2,TARGET,15.449999999999932,1.9565630342556743,1158.749999999995,75,CLOSED,25850.0,25850.0,504.0,285.65,492.9,281.3
NIFTY,sell,STRADDLE,25800.0,MONTH,2,2026-02-12 14:04:00+05:30,800.5,1,1,800.5,2026-02-12 14:20:00+05:30,789.65,TARGET,10.850000000000023,1.3554028732042502,813.7500000000017,75,CLOSED,25800.0,25800.0,526.0,274.5,517.25,272.4
NIFTY,sell,STRADDLE,25550.0,MONTH,2,2026-02-13 10:01:00+05:30,814.6500000000001,1,1,814.6500000000001,2026-02-13 10:10:00+05:30,805.65,TARGET,9.000000000000114,1.1047689191677545,675.0000000000085,75,CLOSED,25550.0,25550.0,523.95,290.7,515.0,290.65
NIFTY,sell,STRADDLE,25550.0,MONTH,2,2026-02-13 11:27:00+05:30,812.55,1,1,812.55,2026-02-13 14:45:00+05:30,814.5,EOD,-1.9500000000000455,-0.2399852316780562,-146.2500000000034,75,CLOSED,25550.0,25550.0,513.0,299.55,498.7,315.8
NIFTY,sell,STRADDLE,25500.0,MONTH,2,2026-02-16 09:57:00+05:30,824.5,1,1,824.5,2026-02-16 11:46:00+05:30,813.95,TARGET,10.549999999999955,1.279563371740443,791.2499999999966,75,CLOSED,25500.0,25500.0,506.0,318.5,512.35,301.6
NIFTY,sell,STRADDLE,25500.0,MONTH,2,2026-02-16 11:57:00+05:30,821.0,1,1,821.0,2026-02-16 14:28:00+05:30,844.3499999999999,STOP_LOSS,-23.34999999999991,-2.8440925700365294,-1751.2499999999932,75,CLOSED,25500.0,25500.0,519.15,301.85,576.55,267.8
NIFTY,sell,STRADDLE,25600.0,MONTH,2,2026-02-17 09:42:00+05:30,801.85,1,1,801.85,2026-02-17 10:30:00+05:30,824.2,STOP_LOSS,-22.350000000000023,-2.787304358670577,-1676.2500000000018,75,CLOSED,25600.0,25600.0,497.0,304.85,561.0,263.2
NIFTY,sell,STRADDLE,25650.0,MONTH,2,2026-02-17 11:09:00+05:30,800.3,1,1,800.3,2026-02-17 11:32:00+05:30,791.1,TARGET,9.199999999999932,1.1495689116581198,689.9999999999949,75,CLOSED,25650.0,25650.0,494.0,306.3,501.1,290.0
NIFTY,sell,STRADDLE,25700.0,MONTH,2,2026-02-17 11:33:00+05:30,791.65,1,1,791.65,2026-02-17 11:42:00+05:30,783.3,TARGET,8.350000000000023,1.0547590475588988,626.2500000000017,75,CLOSED,25700.0,25700.0,489.65,302.0,482.15,301.15
NIFTY,sell,STRADDLE,25750.0,MONTH,2,2026-02-17 12:57:00+05:30,781.5999999999999,1,1,781.5999999999999,2026-02-17 13:01:00+05:30,772.4,TARGET,9.199999999999932,1.177072671443185,689.9999999999949,75,CLOSED,25750.0,25750.0,473.95,307.65,462.4,310.0
NIFTY,sell,STRADDLE,25750.0,MONTH,2,2026-02-17 13:36:00+05:30,777.8,1,1,777.8,2026-02-17 13:57:00+05:30,768.0,TARGET,9.799999999999955,1.2599640010285362,734.9999999999966,75,CLOSED,25750.0,25750.0,478.55,299.25,451.0,317.0
NIFTY,sell,STRADDLE,25700.0,MONTH,2,2026-02-17 14:41:00+05:30,787.05,1,1,787.05,2026-02-17 14:45:00+05:30,782.75,EOD,4.2999999999999545,0.5463439425703519,322.4999999999966,75,CLOSED,25700.0,25700.0,492.0,295.05,483.75,299.0
