date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-05-12,NIFTY,2026-05-12,PE,23600,0,23589.25,23581.9,12:04,12:05,7.349999999998545,23589.25,23573.08,12:07,23579.05,57.45,12:08,23579.85,58.4,12:09,23566.1,69.1,TP,10.699999999999996,695.4999999999998,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23566.5,23551.3,12:09,12:10,15.200000000000728,23551.3,23584.74,12:16,23570.65,70.55,12:17,23572.05,71.0,12:31,23529.4,42.95,SL,-28.049999999999997,-1823.2499999999998,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23558.95,23522.2,12:30,12:31,36.75,23558.95,23478.100000000002,12:35,23516.95,36.15,12:36,23517.55,35.95,13:19,23553.9,18.2,SL,-17.750000000000004,-1153.7500000000002,65
2026-05-12,NIFTY,2026-05-12,PE,23550,0,23564.05,23537.5,13:18,13:19,26.549999999999272,23564.05,23505.64,13:22,23529.95,47.1,13:23,23531.45,46.75,13:42,23507.5,56.8,TP,10.049999999999997,653.2499999999998,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23509.0,23496.55,13:42,13:43,12.450000000000728,23509.0,23481.609999999997,13:46,23494.5,30.0,13:47,23496.1,30.6,13:49,23518.55,22.4,SL,-8.200000000000003,-533.0000000000002,65
2026-05-12,NIFTY,2026-05-12,CE,23550,0,23519.35,23507.25,13:48,13:49,12.099999999998545,23507.25,23533.869999999995,13:51,23527.8,22.2,13:52,23529.75,22.15,13:54,23510.45,15.6,SL,-6.549999999999999,-425.74999999999994,65
2026-05-12,NIFTY,2026-05-12,PE,23500,0,23502.15,23489.4,13:55,13:56,12.75,23502.15,23474.100000000002,14:00,23479.4,36.35,14:01,23483.3,35.85,14:08,23468.7,41.1,TP,5.25,341.25,65
2026-05-12,NIFTY,2026-05-12,CE,23450,0,23461.05,23447.85,14:12,14:13,13.200000000000728,23447.85,23476.89,14:15,23465.8,39.65,14:16,23467.25,39.0,14:25,23487.3,49.45,TP,10.450000000000003,679.2500000000002,65
2026-05-12,NIFTY,2026-05-12,PE,23450,0,23492.7,23468.1,14:24,14:25,24.600000000002183,23492.7,23438.579999999994,14:26,23466.85,12.75,14:27,23469.05,12.7,14:35,23439.2,22.55,TP,9.850000000000001,640.2500000000001,65
2026-05-12,NIFTY,2026-05-12,CE,23450,0,23453.35,23434.45,14:34,14:35,18.899999999997817,23434.45,23476.029999999995,14:36,23455.6,23.7,14:37,23457.2,24.15,14:45,23465.9,31.1,EOD,6.950000000000003,451.75000000000017,65
