Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
212,Entry short,2026-04-09 10:42,Short,23807.9,1,23807.9,-50,-0.21,0,0.00,-50,-0.21,789.65,0.08
213,Exit long,2026-04-09 12:45,L-Exit,23819.15,1,23869.15,-50,-0.21,38.15,0.16,-50,-0.21,739.65,0.07
213,Entry long,2026-04-09 11:30,Long,23869.15,1,23869.15,-50,-0.21,38.15,0.16,-50,-0.21,739.65,0.07
214,Exit short,2026-04-09 13:45,S-Exit,23742.35,1,23817.35,75,0.31,75,0.31,-26.25,-0.11,814.65,0.08
214,Entry short,2026-04-09 12:45,Short,23817.35,1,23817.35,75,0.31,75,0.31,-26.25,-0.11,814.65,0.08
215,Exit long,2026-04-10 15:09,L-Exit,24069.8,1,23994.8,75,0.31,75,0.31,-3.6,-0.02,889.65,0.09
215,Entry long,2026-04-10 14:48,Long,23994.8,1,23994.8,75,0.31,75,0.31,-3.6,-0.02,889.65,0.09
216,Exit short,2026-04-13 13:18,S-Exit,23839.2,1,23789.2,-50,-0.21,17.45,0.07,-50,-0.21,839.65,0.08
216,Entry short,2026-04-13 13:00,Short,23789.2,1,23789.2,-50,-0.21,17.45,0.07,-50,-0.21,839.65,0.08
217,Exit long,2026-04-13 15:15,EOD Square-off,23834.5,1,23870.3,-35.8,-0.15,37.1,0.16,-48.05,-0.20,803.85,0.08
217,Entry long,2026-04-13 13:51,Long,23870.3,1,23870.3,-35.8,-0.15,37.1,0.16,-48.05,-0.20,803.85,0.08
218,Exit short,2026-04-16 12:54,S-Exit,24122.2,1,24197.2,75,0.31,75,0.31,-0.6,0.00,878.85,0.09
218,Entry short,2026-04-16 11:57,Short,24197.2,1,24197.2,75,0.31,75,0.31,-0.6,0.00,878.85,0.09
219,Exit short,2026-04-16 14:33,S-Exit,24217.7,1,24167.7,-50,-0.21,35.25,0.15,-50,-0.21,828.85,0.08
219,Entry short,2026-04-16 13:51,Short,24167.7,1,24167.7,-50,-0.21,35.25,0.15,-50,-0.21,828.85,0.08
220,Exit long,2026-04-16 15:06,L-Exit,24171.15,1,24221.15,-50,-0.21,23.85,0.10,-50,-0.21,778.85,0.08
220,Entry long,2026-04-16 14:36,Long,24221.15,1,24221.15,-50,-0.21,23.85,0.10,-50,-0.21,778.85,0.08
221,Exit long,2026-04-17 10:27,L-Exit,24301.3,1,24226.3,75,0.31,75,0.31,-20.9,-0.09,853.85,0.09
221,Entry long,2026-04-17 09:51,Long,24226.3,1,24226.3,75,0.31,75,0.31,-20.9,-0.09,853.85,0.09
222,Exit long,2026-04-17 14:45,L-Exit,24344.15,1,24269.15,75,0.31,75,0.31,-9.25,-0.04,928.85,0.09
222,Entry long,2026-04-17 12:36,Long,24269.15,1,24269.15,75,0.31,75,0.31,-9.25,-0.04,928.85,0.09
223,Exit long,2026-04-20 10:24,L-Exit,24403.1,1,24328.1,75,0.31,75,0.31,-7.75,-0.03,1003.85,0.10
223,Entry long,2026-04-20 09:54,Long,24328.1,1,24328.1,75,0.31,75,0.31,-7.75,-0.03,1003.85,0.10
224,Exit long,2026-04-20 13:24,L-Exit,24373.8,1,24423.8,-50,-0.20,0.8,0.00,-50,-0.20,953.85,0.10
224,Entry long,2026-04-20 13:15,Long,24423.8,1,24423.8,-50,-0.20,0.8,0.00,-50,-0.20,953.85,0.10
225,Exit long,2026-04-20 15:15,L-Exit,24366.15,1,24416.15,-50,-0.20,21.85,0.09,-50,-0.20,903.85,0.09
225,Entry long,2026-04-20 14:24,Long,24416.15,1,24416.15,-50,-0.20,21.85,0.09,-50,-0.20,903.85,0.09
226,Exit long,2026-04-21 15:15,EOD Square-off,24597.75,1,24537.4,60.35,0.25,64.3,0.26,-11.35,-0.05,964.2,0.10
226,Entry long,2026-04-21 14:12,Long,24537.4,1,24537.4,60.35,0.25,64.3,0.26,-11.35,-0.05,964.2,0.10
