Trade number,Type,Date and time,Signal,Price,Size (qty),Size (value),Net PnL NONE,Net PnL %,Favorable excursion NONE,Favorable excursion %,Adverse excursion NONE,Adverse excursion %,Cumulative PnL NONE,Cumulative PnL %
281,Entry long,2026-06-04 09:48,Long,23380.5,1,23380.5,75,0.32,75,0.32,-21.05,-0.09,916.25,0.09
282,Exit short,2026-06-04 14:00,S-Exit,23384.25,1,23334.25,-50,-0.21,21.1,0.09,-50,-0.21,866.25,0.09
282,Entry short,2026-06-04 13:12,Short,23334.25,1,23334.25,-50,-0.21,21.1,0.09,-50,-0.21,866.25,0.09
283,Exit long,2026-06-04 15:15,EOD Square-off,23418.5,1,23416,2.5,0.01,49.3,0.21,-30.7,-0.13,868.75,0.09
283,Entry long,2026-06-04 14:00,Long,23416,1,23416,2.5,0.01,49.3,0.21,-30.7,-0.13,868.75,0.09
284,Exit long,2026-06-05 10:36,L-Exit,23403.6,1,23453.6,-50,-0.21,59.05,0.25,-50,-0.21,818.75,0.08
284,Entry long,2026-06-05 10:03,Long,23453.6,1,23453.6,-50,-0.21,59.05,0.25,-50,-0.21,818.75,0.08
285,Exit short,2026-06-05 11:03,S-Exit,23427.5,1,23377.5,-50,-0.21,45.7,0.20,-50,-0.21,768.75,0.08
285,Entry short,2026-06-05 10:36,Short,23377.5,1,23377.5,-50,-0.21,45.7,0.20,-50,-0.21,768.75,0.08
286,Exit long,2026-06-05 11:18,L-Exit,23421.7,1,23471.7,-50,-0.21,23.1,0.10,-50,-0.21,718.75,0.07
286,Entry long,2026-06-05 11:03,Long,23471.7,1,23471.7,-50,-0.21,23.1,0.10,-50,-0.21,718.75,0.07
287,Exit long,2026-06-05 12:36,L-Exit,23399.5,1,23449.5,-50,-0.21,5.75,0.02,-50,-0.21,668.75,0.07
287,Entry long,2026-06-05 12:24,Long,23449.5,1,23449.5,-50,-0.21,5.75,0.02,-50,-0.21,668.75,0.07
288,Exit short,2026-06-05 13:27,S-Exit,23312.9,1,23387.9,75,0.32,75,0.32,-2.25,-0.01,743.75,0.07
288,Entry short,2026-06-05 12:39,Short,23387.9,1,23387.9,75,0.32,75,0.32,-2.25,-0.01,743.75,0.07
289,Exit short,2026-06-05 14:42,S-Exit,23396.3,1,23346.3,-50,-0.21,27.55,0.12,-50,-0.21,693.75,0.07
289,Entry short,2026-06-05 14:33,Short,23346.3,1,23346.3,-50,-0.21,27.55,0.12,-50,-0.21,693.75,0.07
290,Exit long,2026-06-05 14:57,L-Exit,23359.35,1,23409.35,-50,-0.21,0.35,0.00,-50,-0.21,643.75,0.06
290,Entry long,2026-06-05 14:45,Long,23409.35,1,23409.35,-50,-0.21,0.35,0.00,-50,-0.21,643.75,0.06
291,Exit short,2026-06-08 13:45,S-Exit,23153.15,1,23228.15,75,0.32,75,0.32,-1.2,-0.01,718.75,0.07
291,Entry short,2026-06-08 13:03,Short,23228.15,1,23228.15,75,0.32,75,0.32,-1.2,-0.01,718.75,0.07
292,Exit long,2026-06-09 09:45,L-Exit,23196,1,23246,-50,-0.22,4.85,0.02,-50,-0.22,668.75,0.07
292,Entry long,2026-06-09 09:30,Long,23246,1,23246,-50,-0.22,4.85,0.02,-50,-0.22,668.75,0.07
293,Exit short,2026-06-09 12:30,Long,23212.15,1,23174.7,-37.45,-0.16,70.25,0.30,-40.2,-0.17,631.3,0.06
293,Entry short,2026-06-09 10:03,Short,23174.7,1,23174.7,-37.45,-0.16,70.25,0.30,-40.2,-0.17,631.3,0.06
294,Exit long,2026-06-09 15:15,EOD Square-off,23233.55,1,23212.15,21.4,0.09,67.25,0.29,-36.85,-0.16,652.7,0.07
294,Entry long,2026-06-09 12:30,Long,23212.15,1,23212.15,21.4,0.09,67.25,0.29,-36.85,-0.16,652.7,0.07
295,Exit long,2026-06-10 14:12,L-Exit,23321.55,1,23371.55,-50,-0.21,5.8,0.02,-50,-0.21,602.7,0.06
295,Entry long,2026-06-10 13:45,Long,23371.55,1,23371.55,-50,-0.21,5.8,0.02,-50,-0.21,602.7,0.06
296,Exit short,2026-06-10 15:12,S-Exit,23214.75,1,23289.75,75,0.32,75,0.32,-31.1,-0.13,677.7,0.07
296,Entry short,2026-06-10 14:30,Short,23289.75,1,23289.75,75,0.32,75,0.32,-31.1,-0.13,677.7,0.07
