time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend,VWAP,Histogram,MACD,Signal line
2026-04-02T10:40:00+05:30,22219.95,22236.2,22215.1,22221.4,,22294.75448398165,,22338.863716756045,22238.707239985073,13.872275733580537,-102.92166701332098,-116.79394274690152
2026-04-02T10:45:00+05:30,22221.2,22225.1,22189.45,22206.35,,22291.52620972506,,22323.5308605724,22237.54439484315,14.984000219322212,-98.06394247274875,-113.04794269207096
2026-04-02T10:50:00+05:30,22204.85,22237.45,22199.25,22226.6,,22291.52620972506,,22323.5308605724,22237.054060731476,17.2182657448014,-91.52511051106922,-108.74337625587061
2026-04-02T10:55:00+05:30,22225.6,22249.5,22220.3,22243.7,,22291.52620972506,,22323.5308605724,22237.07745427371,19.798724804401232,-83.99497025036908,-103.79369505477031
2026-04-02T11:00:00+05:30,22242.95,22250.2,22230.3,22234.85,,22291.52620972506,,22323.5308605724,22237.119412620727,20.75970566162451,-77.84406297773967,-98.60376863936418
2026-04-02T11:05:00+05:30,22236.3,22243.35,22222.4,22235.7,,22291.52620972506,,22323.5308605724,22236.98477535446,21.22696852220062,-72.07005798661339,-93.29702650881401
2026-04-02T11:10:00+05:30,22233.4,22235.05,22217.95,22227.65,,22291.52620972506,,22323.5308605724,22236.65252528431,20.74392605310038,-67.36711894243854,-88.11104499553892
2026-04-02T11:15:00+05:30,22225.85,22231.3,22206.05,22217.65,,22291.52620972506,,22314.783062198454,22236.112546794204,19.51884845027334,-63.71248443269724,-83.23133288297058
2026-04-02T11:20:00+05:30,22216.6,22220.55,22206.25,22212,,22286.151008914214,,22304.18725597861,22234.8276324842,18.126017627245957,-60.573810848913126,-78.69982847615908
2026-04-02T11:25:00+05:30,22209,22222.75,22202.75,22207.6,,22283.863458468502,,22300.45853038075,22234.361527308574,16.739516048090934,-57.775433416045416,-74.51494946413635
2026-04-02T11:30:00+05:30,22206.5,22224.1,22203.7,22219.8,,22283.497785545078,,22298.957677342674,22233.87553119924,16.450884696485403,-53.9513435935296,-70.402228290015
