time,open,high,low,close,PDH,PDL,Shapes,Shapes
2026-04-16T10:30:00+05:30,24301.05,24321.25,24301.05,24312.7,24280.9,24145.8,0,0
2026-04-16T10:35:00+05:30,24312.8,24325.85,24292.45,24299.65,24280.9,24145.8,0,0
2026-04-16T10:40:00+05:30,24298.6,24317.1,24298.1,24307.65,24280.9,24145.8,0,0
2026-04-16T10:45:00+05:30,24307.45,24327.9,24306.9,24316.15,24280.9,24145.8,0,0
2026-04-16T10:50:00+05:30,24315.1,24319.1,24311.5,24314.7,24280.9,24145.8,0,0
2026-04-16T10:55:00+05:30,24315.25,24315.95,24302.15,24309.55,24280.9,24145.8,0,0
2026-04-16T11:00:00+05:30,24309.3,24330.7,24309.3,24324.45,24280.9,24145.8,0,0
2026-04-16T11:05:00+05:30,24321.3,24333.2,24308.6,24324.45,24280.9,24145.8,0,0
2026-04-16T11:10:00+05:30,24323.3,24323.45,24303.65,24313.9,24280.9,24145.8,0,0
2026-04-16T11:15:00+05:30,24313.2,24323.05,24294.1,24319.8,24280.9,24145.8,0,0
2026-04-16T11:20:00+05:30,24319.95,24328.95,24294.5,24297.95,24280.9,24145.8,0,0
2026-04-16T11:25:00+05:30,24298.8,24304.2,24282.75,24299.15,24280.9,24145.8,0,0
2026-04-16T11:30:00+05:30,24300.25,24304.25,24290.1,24299.7,24280.9,24145.8,0,0
2026-04-16T11:35:00+05:30,24299.85,24301.05,24266.9,24281.15,24280.9,24145.8,0,0
2026-04-16T11:40:00+05:30,24280,24280,24252.9,24254.7,24280.9,24145.8,0,0
2026-04-16T11:45:00+05:30,24254.3,24254.3,24215.55,24243.6,24280.9,24145.8,0,0
2026-04-16T11:50:00+05:30,24242.7,24242.7,24218.4,24237.25,24280.9,24145.8,0,0
2026-04-16T11:55:00+05:30,24237.75,24237.75,24194.7,24197.2,24280.9,24145.8,0,0
2026-04-16T12:00:00+05:30,24196.3,24197.8,24157.55,24159.25,24280.9,24145.8,0,0
2026-04-16T12:05:00+05:30,24159.5,24176.9,24153.05,24171.1,24280.9,24145.8,0,0
2026-04-16T12:10:00+05:30,24171.85,24190.75,24170.5,24184.8,24280.9,24145.8,0,0
2026-04-16T12:15:00+05:30,24182.95,24189.7,24159.4,24181.4,24280.9,24145.8,0,0
2026-04-16T12:20:00+05:30,24180.8,24184.35,24152.25,24163.2,24280.9,24145.8,0,0
2026-04-16T12:25:00+05:30,24161.8,24169.4,24152.95,24162.95,24280.9,24145.8,0,0
2026-04-16T12:30:00+05:30,24162.4,24169.75,24136.9,24137.9,24280.9,24145.8,0,0
2026-04-16T12:35:00+05:30,24138.05,24158.8,24131.8,24158.8,24280.9,24145.8,1,0
2026-04-16T12:40:00+05:30,24158.65,24169.25,24138.65,24139.05,24280.9,24145.8,0,0
2026-04-16T12:45:00+05:30,24140.8,24153.05,24129.05,24135.7,24280.9,24145.8,0,0
2026-04-16T12:50:00+05:30,24136.1,24157.1,24122.75,24123.9,24280.9,24145.8,0,0
2026-04-16T12:55:00+05:30,24124.05,24145.25,24116.95,24144.55,24280.9,24145.8,0,0
2026-04-16T13:00:00+05:30,24144.5,24154.6,24136.8,24150.2,24280.9,24145.8,1,0
2026-04-16T13:05:00+05:30,24149.8,24160.2,24117.3,24122.9,24280.9,24145.8,0,0
2026-04-16T13:10:00+05:30,24124.15,24125.85,24107.45,24122.3,24280.9,24145.8,0,0
2026-04-16T13:15:00+05:30,24122.6,24141.95,24111.8,24137.85,24280.9,24145.8,0,0
2026-04-16T13:20:00+05:30,24137.4,24142.45,24103.2,24106.85,24280.9,24145.8,0,0
2026-04-16T13:25:00+05:30,24107.95,24123.2,24102.8,24116.05,24280.9,24145.8,0,0
