symbol,company_name,market_cap_cr,as_of_qtr
ITCHOTELS,ITC Hotels Ltd,28724,202603
JUBLFOOD,Jubilant Foodworks Ltd,28670,202603
CENTRALBK,Central Bank of India,28467,202603
KPRMILL,K P R Mill Ltd,28343,202603
TVSHLTD,TVS Holdings Ltd,28259,202603
GLAND,Gland Pharma Ltd,27964,202603
KARURVYSYA,Karur Vysya Bank Ltd,27937,202603
MINDSPACE,Mindspace Business Parks REIT,27910,202603
CRISIL,CRISIL Ltd,27487,202603
TATAINVEST,Tata Investment Corporation Ltd,27370,202603
LICHSGFIN,LIC Housing Finance Ltd,27239,202603
STARHEALTH,Star Health & Allied Insurance Company Ltd,26905,202603
IRB,IRB Infrastructure Developers Ltd,26704,202603
ZFCVINDIA,ZF Commercial Vehicle Control System India Ltd,26383,202603
APOLLOTYRE,Apollo Tyres Ltd,26166,202603
HEXT,Hexaware Technologies Ltd,25965,202603
MEDANTA,Global Health Ltd,25851,202603
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,25642,202603
PFOCUS,Prime Focus Ltd,25569,202603
FORCEMOT,Force Motors Ltd,25566,202603
ABSLAMC,Aditya Birla Sun Life AMC Ltd,25401,202603
ANANDRATHI,Anand Rathi Wealth Ltd,25204,202603
GODREJIND,Godrej Industries Ltd,25198,202603
PWL,Physicswallah Ltd,25025,202603
KIMS,Krishna Institute of Medical Sciences Ltd,24911,202603
SJVN,SJVN Ltd,24903,202603
IRBIT,IRB Infrastructure Trust,24526,202406
EXIDEIND,Exide Industries Ltd,24480,202603
MSUMI,Motherson Sumi Wiring India Ltd,24464,202603
TIMKEN,Timken India Ltd,24340,202603
METROBRAND,Metro Brands Ltd,24328,202603
BIRET,Brookfield India Real Estate Trust,23922,202603
GILLETTE,Gillette India Ltd,23627,202603
ACC,ACC Ltd,23535,202603
CDSL,Central Depository Services (India) Ltd,23395,202603
HONAUT,Honeywell Automation India Ltd,23290,202603
AWL,AWL Agri Business Ltd,23121,202603
AMBER,Amber Enterprises India Ltd,23055,202603
ITI,ITI Ltd,23020,202603
KAYNES,Kaynes Technology India Ltd,22978,202603
NXST,Nexus Select Trust,22830,202603
IKS,Inventurus Knowledge Solutions Ltd,22799,202603
BANDHANBNK,Bandhan Bank Ltd,22755,202603
GRSE,Garden Reach Shipbuilders & Engineers Ltd,22576,202603
PTCIL,PTC Industries Ltd,22477,202603
SUNTV,Sun TV Network Ltd,22329,202603
HSCL,Himadri Speciality Chemical Ltd,22270,202603
LALPATHLAB,Dr Lal Pathlabs Ltd,22015,202603
RAMCOCEM,The Ramco Cements Ltd,21939,202603
HATSUN,Hatsun Agro Product Ltd,21747,202512
PFIZER,Pfizer Ltd,21592,202603
SHYAMMETL,Shyam Metalics & Energy Ltd,21488,202603
WELCORP,Welspun Corp Ltd,21459,202603
MANAPPURAM,Manappuram Finance Ltd,21246,202603
CPPLUS,Aditya Infotech Ltd,21176,202603
GUJGASLTD,Gujarat Gas Ltd,21147,202603
NUVAMA,Nuvama Wealth Management Ltd,21028,202603
AEGISLOG,Aegis Logistics Ltd,21013,202603
ACUTAAS,Acutaas Chemicals Ltd,20945,202603
NBCC,NBCC (India) Ltd,20928,202603
BAYERCROP,Bayer CropScience Ltd,20905,202603
TENNIND,Tenneco Clean Air India Ltd,20765,202603
ANGELONE,Angel One Ltd,20727,202603
TATATECH,Tata Technologies Ltd,20683,202603
SAILIFE,Sai Life Sciences Ltd,20554,202603
AFFLE,Affle 3i Ltd,20393,202603
IGL,Indraprastha Gas Ltd,20391,202603
SCHNEIDER,Schneider Electric Infrastructure Ltd,20185,202603
GESHIP,Great Eastern Shipping Company Ltd,20182,202603
ASAHIINDIA,Asahi India Glass Ltd,20027,202603
CESC,CESC Ltd,19910,202603
PNBHOUSING,PNB Housing Finance Ltd,19717,202603
CUBEINVIT,Cube Highways Trust,19623,202603
AADHARHFC,Aadhar Housing Finance Ltd,19598,202603
NIACL,New India Assurance Company Ltd,19422,202603
ASTRAZEN,Astrazeneca Pharma India Ltd,19399,202603
KIRLOSENG,Kirloskar Oil Engines Ltd,19286,202603
KIOCL,KIOCL Ltd,19238,202603
WOCKPHARMA,Wockhardt Ltd,19129,202603
INDIGRID,IndiGrid Infrastructure Trust,18819,202603
ATUL,Atul Ltd,18763,202603
SAGILITY,Sagility Ltd,18697,202603
CREDITACC,CreditAccess Grameen Ltd,18508,202603
IIFL,IIFL Finance Ltd,18277,202603
URBANCO,Urban Company Ltd,18275,202603
SUMICHEM,Sumitomo Chemical India Ltd,18204,202603
PPLPHARMA,Piramal Pharma Ltd,18138,202603
GPIL,Godawari Power & Ispat Ltd,18066,202603
KPIL,Kalpataru Projects International Ltd,18057,202603
GMDCLTD,Gujarat Mineral Development Corporation Ltd,17991,202603
ERIS,ERIS Lifesciences Ltd,17986,202603
SARDAEN,Sarda Energy & Minerals Ltd,17975,202603
AEGISVOPAK,Aegis Vopak Terminals Ltd,17922,202603
RBLBANK,RBL Bank Ltd,17916,202603
PINELABS,Pine Labs Ltd,17896,202603
CUB,City Union Bank Ltd,17826,202603
NETWEB,Netweb Technologies India Ltd,17637,202603
DEEPAKNTR,Deepak Nitrite Ltd,17560,202603
NATCOPHARM,Natco Pharma Ltd,17463,202603
DCMSHRIRAM,DCM Shriram Ltd,17434,202603
KPITTECH,KPIT Technologies Ltd,17407,202603
GSPL,Gujarat State Petronet Ltd,17285,202512
EMAMILTD,Emami Ltd,17159,202603
CASTROLIND,Castrol India Ltd,17156,202603
EIHOTEL,EIH Ltd,17110,202603
CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,17082,202603
HBLENGINE,HBL Engineering Ltd,17041,202603
DATAPATTNS,Data Patterns (India) Ltd,16987,202603
ONESOURCE,OneSource Specialty Pharma Ltd,16876,202603
CIEINDIA,CIE Automotive India Ltd,16874,202603
CRAFTSMAN,Craftsman Automation Ltd,16673,202603
TRAVELFOOD,Travel Food Services Ltd,16573,202603
BELRISE,Belrise Industries Ltd,16552,202603
