date,part,side,strike,leg_id,entry_kind,entry_time,entry_cost,sl_level,target_level,exit_time,exit_price,exit_reason,pnl_points,pnl_inr,dte
2025-11-26,P2,PE,85100.0,2025-11-26_P2_PE_85100,INITIAL,2025-11-26 11:59:00+05:30,108.65,135.8125,10.865000000000002,2025-11-26 15:28:00+05:30,56.8,EOD,51.85000000000001,1037.0000000000002,1
2025-11-27,P1,CE,86400.0,2025-11-27_P1_CE_86400,INITIAL,2025-11-27 09:45:00+05:30,11.7,14.625,1.17,2025-11-27 09:57:00+05:30,14.625,SL,-2.9250000000000007,-58.500000000000014,0
2025-11-27,P1,CE,86400.0,2025-11-27_P1_CE_86400,REENTRY,2025-11-27 11:21:00+05:30,11.7,14.625,1.17,2025-11-27 14:37:00+05:30,1.17,TARGET,10.53,210.6,0
2025-11-27,P1,PE,85200.0,2025-11-27_P1_PE_85200,INITIAL,2025-11-27 09:45:00+05:30,21.75,27.1875,2.1750000000000003,2025-11-27 09:46:00+05:30,27.1875,SL,-5.4375,-108.75,0
2025-11-27,P1,PE,85200.0,2025-11-27_P1_PE_85200,REENTRY,2025-11-27 09:47:00+05:30,21.75,27.1875,2.1750000000000003,2025-11-27 13:26:00+05:30,27.1875,SL,-5.4375,-108.75,0
2025-11-27,P2,CE,85800.0,2025-11-27_P2_CE_85800,INITIAL,2025-11-27 13:11:00+05:30,52.1,65.125,5.210000000000001,2025-11-27 14:51:00+05:30,5.210000000000001,TARGET,46.89,937.8,0
2025-12-01,P1,CE,86600.0,2025-12-01_P1_CE_86600,INITIAL,2025-12-01 09:45:00+05:30,153.4,191.75,15.340000000000002,2025-12-01 15:28:00+05:30,72.25,EOD,81.15,1623.0,3
2025-12-01,P1,PE,85400.0,2025-12-01_P1_PE_85400,INITIAL,2025-12-01 09:45:00+05:30,127.05,158.8125,12.705,2025-12-01 10:51:00+05:30,158.8125,SL,-31.762500000000003,-635.25,3
2025-12-02,P1,CE,85900.0,2025-12-02_P1_CE_85900,INITIAL,2025-12-02 09:45:00+05:30,143.25,179.0625,14.325000000000001,2025-12-02 15:28:00+05:30,79.5,EOD,63.75,1275.0,2
2025-12-02,P1,PE,84700.0,2025-12-02_P1_PE_84700,INITIAL,2025-12-02 09:45:00+05:30,90.8,113.5,9.08,2025-12-02 10:17:00+05:30,113.5,SL,-22.700000000000003,-454.00000000000006,2
