date,instrument,expiry_date,option_type,strike,strike_offset,pair_high,pair_low,pair_bar1_time,pair_bar2_time,range_size,sl_spot,tp_spot,trigger_time,spot_at_trigger,trigger_option_close,entry_time,spot_at_entry,entry_price,exit_time,spot_at_exit,exit_price,exit_reason,pnl_points,pnl_inr,lot_size
2026-04-07,NIFTY,2026-04-07,PE,22900,0,22901.05,22879.55,09:30,09:31,21.5,22901.05,22853.75,09:33,22875.05,124.0,09:34,22875.25,126.3,09:36,22843.35,141.6,TP,15.299999999999997,994.4999999999998,65
2026-04-07,NIFTY,2026-04-07,CE,22850,0,22860.2,22837.65,09:35,09:36,22.549999999999272,22837.65,22887.26,09:37,22867.45,115.15,09:38,22869.5,114.2,09:43,22832.4,90.6,SL,-23.60000000000001,-1534.0000000000005,65
2026-04-07,NIFTY,2026-04-07,CE,22850,0,22832.4,22793.0,09:43,09:44,39.400000000001455,22793.0,22879.680000000004,09:47,22854.0,102.7,09:48,22856.55,104.5,09:59,22880.3,113.5,TP,9.0,585.0,65
2026-04-07,NIFTY,2026-04-07,PE,22900,0,22923.5,22897.95,10:01,10:02,25.549999999999272,22923.5,22867.29,10:09,22897.5,96.65,10:10,22899.5,96.35,10:15,22921.8,87.95,SL,-8.399999999999991,-545.9999999999994,65
2026-04-07,NIFTY,2026-04-07,PE,22950,0,22952.2,22928.5,10:17,10:18,23.700000000000728,22952.2,22900.059999999998,10:20,22927.85,103.1,10:21,22929.2,102.6,10:37,22894.1,119.4,TP,16.80000000000001,1092.0000000000007,65
2026-04-07,NIFTY,2026-04-07,CE,22900,0,22917.95,22887.6,10:36,10:37,30.350000000002183,22887.6,22954.370000000003,10:38,22924.3,99.85,10:39,22926.25,99.8,10:42,22957.05,120.25,TP,20.450000000000003,1329.2500000000002,65
2026-04-07,NIFTY,2026-04-07,PE,22950,0,22965.25,22954.8,10:43,10:44,10.450000000000728,22965.25,22942.26,10:46,22953.6,82.55,10:47,22954.35,81.9,10:50,22933.2,95.55,TP,13.649999999999991,887.2499999999994,65
2026-04-07,NIFTY,2026-04-07,PE,22850,0,22917.0,22862.4,10:53,10:54,54.599999999998545,22917.0,22796.880000000005,10:57,22859.3,82.4,10:58,22860.85,81.65,11:23,22924.95,48.2,SL,-33.45,-2174.25,65
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22927.4,22910.0,11:22,11:23,17.400000000001455,22910.0,22948.280000000002,11:24,22927.5,66.7,11:25,22928.8,66.4,11:39,22955.85,80.9,TP,14.5,942.5,65
2026-04-07,NIFTY,2026-04-07,PE,22900,0,22960.25,22928.7,11:38,11:39,31.549999999999272,22960.25,22890.84,11:40,22920.85,65.15,11:41,22923.95,64.55,11:57,22983.05,41.5,SL,-23.049999999999997,-1498.2499999999998,65
2026-04-07,NIFTY,2026-04-07,PE,22950,0,22991.7,22973.6,11:57,11:58,18.100000000002183,22991.7,22951.879999999997,12:01,22965.65,60.8,12:02,22966.9,62.0,12:03,22958.7,64.8,TP,2.799999999999997,181.99999999999983,65
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22945.85,22926.0,12:05,12:06,19.849999999998545,22926.0,22969.67,12:09,22949.05,73.15,12:10,22950.5,73.4,12:12,22922.35,56.45,SL,-16.950000000000003,-1101.7500000000002,65
2026-04-07,NIFTY,2026-04-07,CE,22950,0,22938.55,22906.25,12:11,12:12,32.29999999999927,22906.25,22977.309999999998,12:14,22942.55,65.65,12:15,22939.95,63.25,12:24,22909.1,48.9,SL,-14.350000000000001,-932.7500000000001,65
2026-04-07,NIFTY,2026-04-07,CE,22900,0,22916.8,22905.7,12:23,12:24,11.099999999998545,22905.7,22930.12,12:25,22919.9,77.2,12:26,22920.4,73.8,12:31,22931.8,85.35,TP,11.549999999999997,750.7499999999998,65
2026-04-07,NIFTY,2026-04-07,PE,22900,0,22945.35,22928.5,12:31,12:32,16.849999999998545,22945.35,22908.280000000002,12:33,22922.35,55.6,12:34,22925.65,54.8,12:40,22947.2,43.65,SL,-11.149999999999999,-724.7499999999999,65
2026-04-07,NIFTY,2026-04-07,PE,22950,0,22951.9,22934.55,12:39,12:40,17.350000000002183,22951.9,22913.729999999996,12:51,22931.9,75.85,12:52,22933.35,75.05,13:00,22917.4,80.9,TP,5.8500000000000085,380.25000000000057,65
