instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price
NIFTY,sell,STRADDLE,26000.0,MONTH,1,2025-12-04 13:14:00+05:30,551.5,1,1,551.5,2025-12-04 13:36:00+05:30,544.55,TARGET,6.9500000000000455,1.26019945602902,521.2500000000034,75,CLOSED,26000.0,26000.0,347.0,204.5,331.65,212.9
NIFTY,sell,STRADDLE,26000.0,MONTH,1,2025-12-04 14:10:00+05:30,550.4,1,1,550.4,2025-12-04 14:45:00+05:30,548.4,EOD,2.0,0.3633720930232558,150.0,75,CLOSED,26000.0,26000.0,350.5,199.9,344.15,204.25
NIFTY,sell,STRADDLE,26050.0,MONTH,1,2025-12-05 09:34:00+05:30,547.0,1,1,547.0,2025-12-05 09:35:00+05:30,537.7,TARGET,9.299999999999955,1.7001828153564817,697.4999999999966,75,CLOSED,26050.0,26050.0,347.0,200.0,341.3,196.4
NIFTY,sell,STRADDLE,26100.0,MONTH,1,2025-12-05 10:16:00+05:30,533.5,1,1,533.5,2025-12-05 10:24:00+05:30,523.15,TARGET,10.350000000000023,1.9400187441424597,776.2500000000017,75,CLOSED,26100.0,26100.0,357.1,176.4,341.8,181.35
NIFTY,sell,STRADDLE,26100.0,MONTH,1,2025-12-05 10:48:00+05:30,522.4,1,1,522.4,2025-12-05 11:11:00+05:30,535.6500000000001,STOP_LOSS,-13.250000000000114,-2.5363705972435135,-993.7500000000085,75,CLOSED,26100.0,26100.0,338.0,184.4,365.1,170.55
NIFTY,sell,STRADDLE,26150.0,MONTH,1,2025-12-05 12:22:00+05:30,523.75,1,1,523.75,2025-12-05 12:37:00+05:30,540.05,STOP_LOSS,-16.299999999999955,-3.112171837708822,-1222.4999999999966,75,CLOSED,26150.0,26150.0,345.0,178.75,374.3,165.75
NIFTY,sell,STRADDLE,26200.0,MONTH,1,2025-12-05 12:52:00+05:30,529.25,1,1,529.25,2025-12-05 12:58:00+05:30,521.25,TARGET,8.0,1.5115729806329712,600.0,75,CLOSED,26200.0,26200.0,349.0,180.25,335.0,186.25
NIFTY,sell,STRADDLE,26100.0,MONTH,1,2025-12-08 10:22:00+05:30,510.65,1,1,510.65,2025-12-08 10:58:00+05:30,504.84999999999997,TARGET,5.800000000000011,1.1358073044159427,435.00000000000085,75,CLOSED,26100.0,26100.0,330.0,180.65,315.15,189.7
NIFTY,sell,STRADDLE,25800.0,MONTH,1,2025-12-09 10:21:00+05:30,524.55,1,1,524.55,2025-12-09 10:50:00+05:30,518.6,TARGET,5.949999999999932,1.1343055952721253,446.2499999999949,75,CLOSED,25800.0,25800.0,343.2,181.35,323.6,195.0
NIFTY,sell,STRADDLE,25900.0,MONTH,1,2025-12-09 12:22:00+05:30,500.5,1,1,500.5,2025-12-09 12:34:00+05:30,494.75,TARGET,5.75,1.1488511488511488,431.25,75,CLOSED,25900.0,25900.0,318.5,182.0,308.3,186.45
NIFTY,sell,STRADDLE,25900.0,MONTH,1,2025-12-09 13:55:00+05:30,497.85,1,1,497.85,2025-12-09 14:19:00+05:30,492.35,TARGET,5.5,1.1047504268353923,412.5,75,CLOSED,25900.0,25900.0,312.6,185.25,295.1,197.25
NIFTY,sell,STRADDLE,25950.0,MONTH,1,2025-12-10 10:26:00+05:30,475.95,1,1,475.95,2025-12-10 10:28:00+05:30,469.9,TARGET,6.050000000000011,1.2711419266729722,453.75000000000085,75,CLOSED,25950.0,25950.0,292.95,183.0,280.9,189.0
NIFTY,sell,STRADDLE,25850.0,MONTH,1,2025-12-10 11:22:00+05:30,487.95,1,1,487.95,2025-12-10 11:23:00+05:30,483.0,TARGET,4.949999999999989,1.0144482016600038,371.24999999999915,75,CLOSED,25850.0,25850.0,308.0,179.95,300.9,182.1
