time,open,high,low,close,Hollow Candles (Open),Hollow Candles (High,Hollow Candles (Low),Hollow Candles (Close),Bars (Open),Bars (High,Bars (Low),Bars (Close)
2026-03-24T12:51:00+05:30,22985.95,23026.1,22980,23007.5,22971.602338493285,23026.1,22971.602338493285,22999.8875,22971.602338493285,23026.1,22971.602338493285,22999.8875
2026-03-24T12:54:00+05:30,23007.8,23014.3,22969.55,22975.05,22985.744919246645,23014.3,22969.55,22991.675,22985.744919246645,23014.3,22969.55,22991.675
2026-03-24T12:57:00+05:30,22974.25,22981.05,22952.85,22974.4,22988.709959623324,22988.709959623324,22952.85,22970.637499999997,22988.709959623324,22988.709959623324,22952.85,22970.637499999997
2026-03-24T13:00:00+05:30,22974.6,22979.35,22954.85,22957.75,22979.67372981166,22979.67372981166,22954.85,22966.637499999997,22979.67372981166,22979.67372981166,22954.85,22966.637499999997
2026-03-24T13:03:00+05:30,22958.2,22962.35,22912.8,22914.25,22973.15561490583,22973.15561490583,22912.8,22936.9,22973.15561490583,22973.15561490583,22912.8,22936.9
2026-03-24T13:06:00+05:30,22914,22956.5,22911.35,22950.95,22955.027807452916,22956.5,22911.35,22933.2,22955.027807452916,22956.5,22911.35,22933.2
2026-03-24T13:09:00+05:30,22949.9,22986,22934.15,22980.95,22944.11390372646,22986,22934.15,22962.75,22944.11390372646,22986,22934.15,22962.75
2026-03-24T13:12:00+05:30,22980.7,22990.5,22955.8,22990.5,22953.43195186323,22990.5,22953.43195186323,22979.375,22953.43195186323,22990.5,22953.43195186323,22979.375
2026-03-24T13:15:00+05:30,22990.75,22991.5,22958.4,22982.35,22966.403475931613,22991.5,22958.4,22980.75,22966.403475931613,22991.5,22958.4,22980.75
2026-03-24T13:18:00+05:30,22984.8,22991.8,22966.45,22987.05,22973.576737965806,22991.8,22966.45,22982.525,22973.576737965806,22991.8,22966.45,22982.525
2026-03-24T13:21:00+05:30,22986.4,23012.95,22985.55,23008.6,22978.050868982904,23012.95,22978.050868982904,22998.375,22978.050868982904,23012.95,22978.050868982904,22998.375
2026-03-24T13:24:00+05:30,23007.9,23009.75,22983.75,23009.6,22988.21293449145,23009.75,22983.75,23002.75,22988.21293449145,23009.75,22983.75,23002.75
2026-03-24T13:27:00+05:30,23008.9,23027.25,23008.7,23021.95,22995.481467245725,23027.25,22995.481467245725,23016.7,22995.481467245725,23027.25,22995.481467245725,23016.7
2026-03-24T13:30:00+05:30,23021.2,23037.5,22999.85,23031.4,23006.090733622863,23037.5,22999.85,23022.487499999996,23006.090733622863,23037.5,22999.85,23022.487499999996
