instrument,direction,option_type,strike,expiry_type,expiry_code,signal_time,base_price,parts_filled,total_levels,avg_entry_price,exit_time,exit_price,exit_reason,pnl,pnl_pct,money_pnl,lot_size,status,level_1_target,level_1_pct,level_1_capital_pct,part_1_time,part_1_price
NIFTY,buy,PE,24400.0,WEEK,1,2025-05-08 12:44:00+05:30,12.15,1,1,12.15,2025-05-08 12:45:00+05:30,11.664,STOP_LOSS,-0.48600000000000065,-4.000000000000005,-36.450000000000045,75,CLOSED,12.15,0,100.0,2025-05-08 12:44:00+05:30,12.15
NIFTY,buy,CE,24400.0,WEEK,1,2025-05-08 12:59:00+05:30,10.4,1,1,10.4,2025-05-08 13:00:00+05:30,9.984,STOP_LOSS,-0.41600000000000037,-4.0000000000000036,-31.200000000000028,75,CLOSED,10.4,0,100.0,2025-05-08 12:59:00+05:30,10.4
NIFTY,buy,PE,24400.0,WEEK,1,2025-05-08 13:07:00+05:30,13.05,1,1,13.05,2025-05-08 13:08:00+05:30,14.02875,TARGET,0.9787499999999998,7.499999999999998,73.40624999999999,75,CLOSED,13.05,0,100.0,2025-05-08 13:07:00+05:30,13.05
NIFTY,buy,PE,24400.0,WEEK,1,2025-05-08 13:12:00+05:30,17.55,1,1,17.55,2025-05-08 13:13:00+05:30,16.848,STOP_LOSS,-0.7020000000000017,-4.00000000000001,-52.650000000000134,75,CLOSED,17.55,0,100.0,2025-05-08 13:12:00+05:30,17.55
NIFTY,buy,PE,24400.0,WEEK,1,2025-05-08 13:17:00+05:30,21.75,1,1,21.75,2025-05-08 13:18:00+05:30,20.88,STOP_LOSS,-0.870000000000001,-4.000000000000004,-65.25000000000007,75,CLOSED,21.75,0,100.0,2025-05-08 13:17:00+05:30,21.75
NIFTY,buy,PE,24350.0,WEEK,1,2025-05-08 13:23:00+05:30,12.1,1,1,12.1,2025-05-08 13:24:00+05:30,11.616,STOP_LOSS,-0.484,-4.0,-36.3,75,CLOSED,12.1,0,100.0,2025-05-08 13:23:00+05:30,12.1
NIFTY,buy,PE,24350.0,WEEK,1,2025-05-08 13:37:00+05:30,14.4,1,1,14.4,2025-05-08 13:38:00+05:30,15.48,TARGET,1.08,7.5,81.0,75,CLOSED,14.4,0,100.0,2025-05-08 13:37:00+05:30,14.4
NIFTY,buy,CE,24350.0,WEEK,1,2025-05-08 14:27:00+05:30,12.9,1,1,12.9,2025-05-08 14:28:00+05:30,13.8675,TARGET,0.9674999999999994,7.499999999999994,72.56249999999996,75,CLOSED,12.9,0,100.0,2025-05-08 14:27:00+05:30,12.9
NIFTY,buy,PE,24350.0,WEEK,1,2025-05-08 14:45:00+05:30,13.95,1,1,13.95,2025-05-08 14:46:00+05:30,14.996249999999998,TARGET,1.0462499999999988,7.499999999999991,78.46874999999991,75,CLOSED,13.95,0,100.0,2025-05-08 14:45:00+05:30,13.95
NIFTY,buy,PE,24300.0,WEEK,1,2025-05-08 14:48:00+05:30,6.9,1,1,6.9,2025-05-08 14:49:00+05:30,6.624,STOP_LOSS,-0.2760000000000007,-4.00000000000001,-20.700000000000053,75,CLOSED,6.9,0,100.0,2025-05-08 14:48:00+05:30,6.9
NIFTY,buy,PE,24300.0,WEEK,1,2025-05-08 14:50:00+05:30,8.6,1,1,8.6,2025-05-08 14:51:00+05:30,9.245,TARGET,0.6449999999999996,7.499999999999996,48.37499999999997,75,CLOSED,8.6,0,100.0,2025-05-08 14:50:00+05:30,8.6
NIFTY,buy,PE,24000.0,WEEK,1,2025-05-09 10:02:00+05:30,273.0,1,1,273.0,2025-05-09 10:06:00+05:30,293.47499999999997,TARGET,20.474999999999966,7.499999999999988,1535.6249999999975,75,CLOSED,273.0,0,100.0,2025-05-09 10:02:00+05:30,273.0
NIFTY,buy,CE,24050.0,WEEK,1,2025-05-09 10:15:00+05:30,267.45,1,1,267.45,2025-05-09 10:19:00+05:30,256.75199999999995,STOP_LOSS,-10.698000000000036,-4.000000000000013,-802.3500000000026,75,CLOSED,267.45,0,100.0,2025-05-09 10:15:00+05:30,267.45
NIFTY,buy,CE,24050.0,WEEK,1,2025-05-09 11:28:00+05:30,243.2,1,1,243.2,2025-05-09 11:29:00+05:30,261.44,TARGET,18.24000000000001,7.5000000000000036,1368.0000000000007,75,CLOSED,243.2,0,100.0,2025-05-09 11:28:00+05:30,243.2
NIFTY,buy,CE,24000.0,WEEK,1,2025-05-09 13:54:00+05:30,235.0,1,1,235.0,2025-05-09 13:55:00+05:30,225.6,STOP_LOSS,-9.400000000000006,-4.000000000000002,-705.0000000000005,75,CLOSED,235.0,0,100.0,2025-05-09 13:54:00+05:30,235.0
NIFTY,buy,CE,24650.0,WEEK,1,2025-05-12 09:51:00+05:30,153.95,1,1,153.95,2025-05-12 09:53:00+05:30,165.49624999999997,TARGET,11.546249999999986,7.499999999999991,865.968749999999,75,CLOSED,153.95,0,100.0,2025-05-12 09:51:00+05:30,153.95
NIFTY,buy,PE,24650.0,WEEK,1,2025-05-12 10:13:00+05:30,157.75,1,1,157.75,2025-05-12 10:14:00+05:30,151.44,STOP_LOSS,-6.310000000000002,-4.000000000000002,-473.25000000000017,75,CLOSED,157.75,0,100.0,2025-05-12 10:13:00+05:30,157.75
NIFTY,buy,CE,24750.0,WEEK,1,2025-05-12 11:25:00+05:30,188.65,1,1,188.65,2025-05-12 11:27:00+05:30,181.10399999999998,STOP_LOSS,-7.546000000000021,-4.0000000000000115,-565.9500000000015,75,CLOSED,188.65,0,100.0,2025-05-12 11:25:00+05:30,188.65
NIFTY,buy,CE,24750.0,WEEK,1,2025-05-12 12:30:00+05:30,184.85,1,1,184.85,2025-05-12 12:31:00+05:30,198.71374999999998,TARGET,13.863749999999982,7.49999999999999,1039.7812499999986,75,CLOSED,184.85,0,100.0,2025-05-12 12:30:00+05:30,184.85
NIFTY,buy,CE,24800.0,WEEK,1,2025-05-12 13:23:00+05:30,213.95,1,1,213.95,2025-05-12 13:31:00+05:30,229.99624999999997,TARGET,16.046249999999986,7.499999999999994,1203.468749999999,75,CLOSED,213.95,0,100.0,2025-05-12 13:23:00+05:30,213.95
NIFTY,buy,CE,24850.0,WEEK,1,2025-05-12 14:12:00+05:30,215.4,1,1,215.4,2025-05-12 14:14:00+05:30,231.555,TARGET,16.155,7.5,1211.625,75,CLOSED,215.4,0,100.0,2025-05-12 14:12:00+05:30,215.4
NIFTY,buy,CE,24900.0,WEEK,1,2025-05-12 14:57:00+05:30,242.2,1,1,242.2,2025-05-12 14:59:00+05:30,232.51199999999997,STOP_LOSS,-9.688000000000017,-4.000000000000007,-726.6000000000013,75,CLOSED,242.2,0,100.0,2025-05-12 14:57:00+05:30,242.2
NIFTY,buy,PE,24700.0,WEEK,1,2025-05-13 09:31:00+05:30,195.85,1,1,195.85,2025-05-13 09:33:00+05:30,188.016,STOP_LOSS,-7.834000000000003,-4.000000000000002,-587.5500000000002,75,CLOSED,195.85,0,100.0,2025-05-13 09:31:00+05:30,195.85
NIFTY,buy,CE,24800.0,WEEK,1,2025-05-13 10:09:00+05:30,187.6,1,1,187.6,2025-05-13 10:10:00+05:30,180.09599999999998,STOP_LOSS,-7.504000000000019,-4.000000000000011,-562.8000000000014,75,CLOSED,187.6,0,100.0,2025-05-13 10:09:00+05:30,187.6
NIFTY,buy,PE,24700.0,WEEK,1,2025-05-13 10:27:00+05:30,198.15,1,1,198.15,2025-05-13 10:29:00+05:30,213.01125,TARGET,14.861249999999984,7.499999999999991,1114.5937499999989,75,CLOSED,198.15,0,100.0,2025-05-13 10:27:00+05:30,198.15
NIFTY,buy,PE,24650.0,WEEK,1,2025-05-13 10:31:00+05:30,212.75,1,1,212.75,2025-05-13 10:32:00+05:30,204.23999999999998,STOP_LOSS,-8.51000000000002,-4.000000000000009,-638.2500000000015,75,CLOSED,212.75,0,100.0,2025-05-13 10:31:00+05:30,212.75
