time,open,high,low,close,EMA 126,Upper Band,Lower Band
2026-05-06T15:24:00+05:30,24327.5,24334.4,24325.6,24329,24149.955424074553,24174.955424074553,24124.955424074553
2026-05-06T15:27:00+05:30,24330.4,24346.6,24327.3,24339.3,24152.937228419836,24177.937228419836,24127.937228419836
2026-05-07T09:15:00+05:30,24398.35,24423.35,24346.6,24363.15,24156.247665767554,24181.247665767554,24131.247665767554
2026-05-07T09:18:00+05:30,24363.35,24363.9,24314.3,24317.9,24158.793371818458,24183.793371818458,24133.793371818458
2026-05-07T09:21:00+05:30,24318.2,24337.05,24300.7,24328.45,24161.465129742577,24186.465129742577,24136.465129742577
2026-05-07T09:24:00+05:30,24329.2,24336.4,24312.2,24313.45,24163.858592266315,24188.858592266315,24138.858592266315
2026-05-07T09:27:00+05:30,24313.6,24346.75,24313.6,24334.15,24166.540346718815,24191.540346718815,24141.540346718815
2026-05-07T09:30:00+05:30,24334.8,24359.1,24320.15,24358.6,24169.56490818781,24194.56490818781,24144.56490818781
2026-05-07T09:33:00+05:30,24357.9,24368.75,24350,24367.6,24172.683571050995,24197.683571050995,24147.683571050995
2026-05-07T09:36:00+05:30,24367.5,24372.4,24350.65,24350.65,24175.486191979326,24200.486191979326,24150.486191979326
2026-05-07T09:39:00+05:30,24351.2,24382.7,24346.9,24382.7,24178.749401554454,24203.749401554454,24153.749401554454
2026-05-07T09:42:00+05:30,24382.35,24402.15,24382.35,24397.35,24182.191930663834,24207.191930663834,24157.191930663834
2026-05-07T09:45:00+05:30,24396.9,24401.4,24374.45,24376.15,24185.246388448657,24210.246388448657,24160.246388448657
2026-05-07T09:48:00+05:30,24376,24380.65,24334.55,24352.65,24187.88266579592,24212.88266579592,24162.88266579592
2026-05-07T09:51:00+05:30,24352.95,24363.55,24329.4,24331.95,24190.151442712522,24215.151442712522,24165.151442712522
2026-05-07T09:54:00+05:30,24329.85,24351.55,24325.65,24343.65,24192.568742827287,24217.568742827287,24167.568742827287
2026-05-07T09:57:00+05:30,24343.9,24354.15,24333.35,24342.95,24194.93695160166,24219.93695160166,24169.93695160166
2026-05-07T10:00:00+05:30,24343,24378.7,24340.15,24375.4,24197.77888937171,24222.77888937171,24172.77888937171
2026-05-07T10:03:00+05:30,24375.5,24377.35,24358.9,24363.85,24200.394182452474,24225.394182452474,24175.394182452474
2026-05-07T10:06:00+05:30,24363.8,24366.85,24315.25,24325.7,24202.367502413854,24227.367502413854,24177.367502413854
2026-05-07T10:09:00+05:30,24326.3,24337.45,24316.85,24316.85,24204.170376391587,24229.170376391587,24179.170376391587
2026-05-07T10:12:00+05:30,24317.05,24325.85,24310,24323.65,24206.05194526731,24231.05194526731,24181.05194526731
2026-05-07T10:15:00+05:30,24324.65,24338.65,24321.6,24338.65,24208.14010360956,24233.14010360956,24183.14010360956
2026-05-07T10:18:00+05:30,24338.8,24351.35,24337.55,24349.15,24210.360731899174,24235.360731899174,24185.360731899174
2026-05-07T10:21:00+05:30,24349.65,24355.95,24345.05,24349.4,24212.550326672415,24237.550326672415,24187.550326672415
2026-05-07T10:24:00+05:30,24350.15,24366.55,24344.95,24365.2,24214.954258535843,24239.954258535843,24189.954258535843
2026-05-07T10:27:00+05:30,24365.45,24368.9,24353.9,24360.3,24217.24316785024,24242.24316785024,24192.24316785024
2026-05-07T10:30:00+05:30,24361.5,24372.6,24360.35,24368.5,24219.62516520693,24244.62516520693,24194.62516520693
2026-05-07T10:33:00+05:30,24368.55,24375.55,24359.2,24361.15,24221.853902762727,24246.853902762727,24196.853902762727
2026-05-07T10:36:00+05:30,24360.75,24368.1,24352.85,24361.25,24224.04911689245,24249.04911689245,24199.04911689245
