time,open,high,low,close,WMA44 (15m),Long,Short
2026-05-21T12:45:00+05:30,23640.1,23646.85,23613.85,23624.35,23673.480808080803,0,0
2026-05-21T13:00:00+05:30,23624.2,23653.95,23596.6,23640.55,23673.44454545455,0,0
2026-05-21T13:15:00+05:30,23640.7,23651.1,23630.65,23631.7,23673.032474747473,0,0
2026-05-21T13:30:00+05:30,23631.6,23687.5,23622.75,23681.3,23674.849141414143,1,0
2026-05-21T13:45:00+05:30,23681.35,23691.8,23640.3,23673.3,23676.25292929293,0,0
2026-05-21T14:00:00+05:30,23673.35,23674.05,23638.1,23651.6,23676.624444444435,0,0
2026-05-21T14:15:00+05:30,23652.15,23678.35,23638.4,23652.5,23676.860151515153,0,0
2026-05-21T14:30:00+05:30,23652.4,23705.4,23650.4,23671.85,23677.82631313131,0,0
2026-05-21T14:45:00+05:30,23671.1,23696.6,23669.5,23679.3,23678.992323232324,0,0
2026-05-21T15:00:00+05:30,23679.55,23691.3,23637.05,23639.2,23678.1952020202,0,0
2026-05-21T15:15:00+05:30,23639.1,23652.45,23631.1,23648.8,23677.704242424243,0,0
2026-05-22T09:15:00+05:30,23679.8,23756.65,23671,23738.6,23681.087171717165,0,0
2026-05-22T09:30:00+05:30,23739,23778.6,23729.55,23752.95,23684.91358585859,0,0
2026-05-22T09:45:00+05:30,23753.3,23788.8,23739.2,23779.65,23689.734191919193,0,0
2026-05-22T10:00:00+05:30,23778.6,23800.15,23759.4,23791.7,23694.90797979798,0,0
2026-05-22T10:15:00+05:30,23791.65,23795.4,23759.65,23761.45,23698.548737373738,0,0
2026-05-22T10:30:00+05:30,23761.35,23795.15,23761.35,23792.7,23703.42414141414,0,0
2026-05-22T10:45:00+05:30,23793,23797.85,23775.1,23780.75,23707.553535353534,0,0
2026-05-22T11:00:00+05:30,23781.2,23782.55,23765.95,23771.6,23711.081818181814,0,0
2026-05-22T11:15:00+05:30,23772.45,23789.3,23750.7,23758.9,23713.876262626265,0,0
2026-05-22T11:30:00+05:30,23758.2,23808.9,23750.05,23808.25,23718.71631313131,0,0
2026-05-22T11:45:00+05:30,23807.7,23828.5,23800.7,23804.85,23723.19590909091,0,0
2026-05-22T12:00:00+05:30,23804.9,23808.35,23789.8,23798.6,23727.157272727272,0,0
2026-05-22T12:15:00+05:30,23798.4,23802.45,23771.45,23774.75,23729.85308080808,0,0
2026-05-22T12:30:00+05:30,23774.85,23798.5,23758.85,23792.6,23733.19287878788,0,0
2026-05-22T12:45:00+05:30,23792.95,23835.65,23789.25,23827.45,23737.939393939392,0,0
2026-05-22T13:00:00+05:30,23828.25,23833.25,23812.95,23819.1,23742.151616161613,0,0
2026-05-22T13:15:00+05:30,23819.3,23822.65,23803.6,23809.4,23745.78883838384,0,0
2026-05-22T13:30:00+05:30,23809.1,23818.2,23800.8,23801.25,23748.93292929292,0,0
2026-05-22T13:45:00+05:30,23801.2,23822.7,23782.5,23792.15,23751.537727272724,0,0
2026-05-22T14:00:00+05:30,23792.2,23795.6,23744.8,23778.2,23753.39343434343,0,0
2026-05-22T14:15:00+05:30,23778.25,23781.7,23739.1,23739.3,23753.499191919196,0,0
2026-05-22T14:30:00+05:30,23739.4,23752.5,23707.45,23709.05,23752.31434343434,0,0
2026-05-22T14:45:00+05:30,23709.45,23733.65,23706.9,23724.45,23751.876868686868,0,0
2026-05-22T15:00:00+05:30,23724.65,23727.6,23698.95,23718.15,23751.202878787884,0,0
2026-05-22T15:15:00+05:30,23717.7,23751.9,23717.7,23748.85,23751.955858585854,0,0
2026-05-25T09:15:00+05:30,23942.6,23989.1,23922.85,23981.6,23763.068333333333,0,0
2026-05-25T09:30:00+05:30,23981.95,23984.3,23927.75,23947.5,23772.40484848485,0,0
2026-05-25T09:45:00+05:30,23951.45,23951.45,23924.4,23937.15,23781.028888888886,0,0
2026-05-25T10:00:00+05:30,23938.75,23959.85,23933.45,23952.05,23790.11898989899,0,0
2026-05-25T10:15:00+05:30,23953.85,23980.95,23952.6,23958.55,23799.274141414142,0,0
