symbol,company_name,market_cap_cr
ICICIAMC,ICICI Prudential Asset Management Co Ltd,138560
TECHM,Tech Mahindra Ltd,135875
ADANIGREEN,Adani Green Energy Ltd,132894
PIDILITIND,Pidilite Industries Ltd,130859
BRITANNIA,Britannia Industries Ltd,130705
VBL,Varun Beverages Ltd,129889
TATACAP,Tata Capital Ltd,129660
BANKBARODA,Bank of Baroda,127965
HDFCLIFE,HDFC Life Insurance Company Ltd,127355
MUTHOOTFIN,Muthoot Finance Ltd,126846
ABB,ABB India Ltd,125799
UNIONBANK,Union Bank of India,125306
PFC,Power Finance Corporation Ltd,125288
CUMMINSIND,Cummins India Ltd,124750
DLF,DLF Ltd,124681
BPCL,Bharat Petroleum Corporation Ltd,121934
TATAPOWER,Tata Power Company Ltd,121008
LTM,LTM Ltd,119055
TRENT,Trent Ltd,117121
PNB,Punjab National Bank,115573
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,115353
IRFC,Indian Railway Finance Corporation Ltd,114023
INDIANB,Indian Bank,113946
JINDALSTEL,Jindal Steel Ltd,113495
ADANIENSOL,Adani Energy Solutions Ltd,112224
CANBK,Canara Bank,111977
MOTHERSON,Samvardhana Motherson International Ltd,110927
INDUSTOWER,Indus Towers Ltd,110262
BSE,BSE Ltd,109299
SOLARINDS,Solar Industries India Ltd,109227
TMPV,Tata Motors Passenger Vehicles Ltd,109090
POWERINDIA,Hitachi Energy India Ltd,107924
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,106809
LUPIN,Lupin Ltd,105732
DRREDDY,Dr Reddys Laboratories Ltd,104720
SIEMENS,Siemens Ltd,104473
CGPOWER,CG Power & Industrial Solutions Ltd,103252
POLYCAB,Polycab India Ltd,102994
HEROMOTOCO,Hero MotoCorp Ltd,101252
GODREJCP,Godrej Consumer Products Ltd,100759
TATACONSUM,Tata Consumer Products Ltd,100386
AMBUJACEM,Ambuja Cements Ltd,99095
CIPLA,Cipla Ltd,98796
LGEINDIA,LG Electronics India Ltd,97835
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,97312
MARICO,Marico Ltd,95576
HDFCAMC,HDFC Asset Management Company Ltd,94966
GROWW,Billionbrains Garage Ventures Ltd,94167
MAXHEALTH,Max Healthcare Institute Ltd,93582
GVT&D,GE Vernova T&D India Ltd,93233
IDEA,Vodafone Idea Ltd,92417
ENRIN,Siemens Energy India Ltd,91511
ASHOKLEY,Ashok Leyland Ltd,90545
GAIL,GAIL (India) Ltd,90539
GMRAIRPORT,GMR Airports Ltd,89435
WAAREEENER,Waaree Energies Ltd,89379
