symbol,company_name,market_cap_cr
NESCO,NESCO Ltd,7157
VARROC,Varroc Engineering Ltd,7152
PNGJL,P N Gadgil Jewellers Ltd,7152
MARKSANS,Marksans Pharma Ltd,7121
BLUESTONE,Bluestone Jewellery & Lifestyle Ltd,7118
AMAGI,Amagi Media Labs Ltd,7100
TCI,Transport Corporation of India Ltd,7065
SAFARI,Safari Industries (India) Ltd,7012
GMRP&UI,GMR Power & Urban Infra Ltd,6998
SKFINDIA,SKF India Ltd,6995
CLEAN,Clean Science & Technology Ltd,6979
JAYNECOIND,Jayaswal Neco Industries Ltd,6971
RHIM,RHI Magnesita India Ltd,6962
KPIGREEN,KPI Green Energy Ltd,6936
JKLAKSHMI,JK Lakshmi Cement Ltd,6930
ZEEL,Zee Entertainment Enterprises Ltd,6918
GPPL,Gujarat Pipavav Port Ltd,6887
TEJASNET,Tejas Networks Ltd,6886
V2RETAIL,V2 Retail Ltd,6875
SHILPAMED,Shilpa Medicare Ltd,6819
MANORAMA,Manorama Industries Ltd,6755
KIRLPNU,Kirloskar Pneumatic Company Ltd,6733
RELIGARE,Religare Enterprises Ltd,6726
JSLL,Jeena Sikho Lifecare Ltd,6711
SUDEEPPHRM,Sudeep Pharma Ltd,6691
SHADOWFAX,Shadowfax Technologies Ltd,6685
SEDEMAC,Sedemac Mechatronics Ltd,6675
RIIT,RaajMarg Infra Investment Trust,6613
,Midwest Gold Ltd,6607
ABFRL,Aditya Birla Fashion & Retail Ltd,6579
EPL,EPL Ltd,6563
GENUSPOWER,Genus Power Infrastructures Ltd,6553
APOLLO,Apollo Micro Systems Ltd,6510
ELANTAS,Elantas Beck India Ltd,6503
AXISCADES,AXISCADES Technologies Ltd,6493
IMFA,Indian Metals & Ferro Alloys Ltd,6486
KRBL,KRBL Ltd,6458
VIKRAMSOLR,Vikram Solar Ltd,6449
PCJEWELLER,PC Jeweller Ltd,6444
BIRLACORPN,Birla Corporation Ltd,6426
ISGEC,ISGEC Heavy Engineering  Ltd,6343
TIPSMUSIC,Tips Music Ltd,6329
DBL,Dilip Buildcon Ltd,6305
WEWORK,Wework India Management Ltd,6300
PRSMJOHNSN,Prism Johnson Ltd,6297
DIACABS,Diamond Power Infrastructure Ltd,6295
MAHLIFE,Mahindra Lifespace Developers Ltd,6279
PGIL,Pearl Global Industries Ltd,6265
PRICOLLTD,Pricol Ltd,6259
GAEL,Gujarat Ambuja Exports Ltd,6240
QPOWER,Quality Power Electrical Equipments Ltd,6217
BENGALASM,Bengal & Assam Company Ltd,6204
AVALON,Avalon Technologies Ltd,6204
LLOYDSENT,Lloyds Enterprises Ltd,6183
AVL,Aditya Vision Ltd,6176
SAREGAMA,Saregama India Ltd,6153
TTML,Tata Teleservices (Maharashtra) Ltd,6117
DYNAMATECH,Dynamatic Technologies Ltd,6116
HNDFDS,Hindustan Foods Ltd,6095
SHREMINVIT,Shrem InvIT,6078
REDTAPE,Redtape Ltd,6067
TRANSRAILL,Transrail Lighting Ltd,6066
UTLSOLAR,Fujiyama Power Systems Ltd,6013
GARFIBRES,Garware Technical Fibres Ltd,5995
YATHARTH,Yatharth Hospital & Trauma Care Services Ltd,5947
RELAXO,Relaxo Footwears Ltd,5922
EQUITASBNK,Equitas Small Finance Bank Ltd,5896
CSBBANK,CSB Bank Ltd,5895
RCF,Rashtriya Chemicals & Fertilizers Ltd,5889
TTKPRESTIG,TTK Prestige Ltd,5884
SUDARSCHEM,Sudarshan Chemical Industries Ltd,5875
SONATSOFTW,Sonata Software Ltd,5869
DODLA,Dodla Dairy Ltd,5858
PRAJIND,Praj Industries Ltd,5847
SGMART,SG Mart Ltd,5845
RENUKA,Shree Renuka Sugars Ltd,5845
ETHOSLTD,Ethos Ltd,5820
KIRLFER,Kirloskar Ferrous Industries Ltd,5753
WELENT,Welspun Enterprises Ltd,5750
KINGFA,Kingfa Science & Technology (India) Ltd,5737
NEWGEN,Newgen Software Technologies Ltd,5723
INDIAGLYCO,India Glycols Ltd,5691
SHAKTIPUMP,Shakti Pumps (India) Ltd,5681
BLUEJET,Blue Jet Healthcare Ltd,5677
THYROCARE,Thyrocare Technologies Ltd,5567
JKPAPER,JK Paper Ltd,5559
ALOKINDS,Alok Industries Ltd,5556
GSFC,Gujarat State Fertilizers & Chemicals Ltd,5547
SUPRAJIT,Suprajit Engineering Ltd,5498
HAPPSTMNDS,Happiest Minds Technologies Ltd,5498
BECTORFOOD,Mrs Bectors Food Specialities Ltd,5497
KOVAI,Kovai Medical Center & Hospital Ltd,5495
EMBDL,Embassy Developments Ltd,5490
SMLMAH,SML Mahindra Ltd,5488
POWERMECH,Power Mech Projects Ltd,5475
INDUSINVIT,Indus Infra Trust,5462
INOXGREEN,Inox Green Energy Services Ltd,5460
ENTERO,Entero Healthcare Solutions Ltd,5421
ARVINDFASN,Arvind Fashions Ltd,5382
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,5377
GALAXYSURF,Galaxy Surfactants Ltd,5370
AARTIPHARM,Aarti Pharmalabs Ltd,5342
GOKULAGRO,Gokul Agro Resources Ltd,5338
KWIL,Kwality Walls India Ltd,5324
KALPATARU,Kalpataru Ltd,5315
KRN,KRN Heat Exchanger and Refrigeration Ltd,5295
BORORENEW,Borosil Renewables Ltd,5292
LLOYDSENGG,Lloyds Engineering Works Ltd,5275
SHREEJISPG,Shreeji Shipping Global Ltd,5262
LGBBROSLTD,L G Balakrishnan & Bros Ltd,5249
FDC,FDC Ltd,5229
GREENLAM,Greenlam Industries Ltd,5222
LATENTVIEW,Latent View Analytics Ltd,5199
RATEGAIN,Rategain Travel Technologies Ltd,5189
,Energy Infrastructure Trust,5177
PICCADIL,Piccadily Agro Industries Ltd,5104
DCBBANK,DCB Bank Ltd,5101
SFL,Sheela Foam Ltd,5098
MASFIN,MAS Financial Services Ltd,5082
MIDHANI,Mishra Dhatu Nigam Ltd,5076
NEPHROPLUS,Nephrocare Health Services Ltd,5073
FIEMIND,Fiem Industries Ltd,5039
LOTUSDEV,Sri Lotus Developers & Realty Ltd,5027
MAXESTATES,Max Estates Ltd,5024
TANLA,Tanla Platforms Ltd,5012
WAKEFIT,Wakefit Innovations Ltd,5011
SJS,S J S Enterprises Ltd,4958
TIIL,Technocraft Industries (India) Ltd,4957
ICIL,Indo Count Industries Ltd,4947
SKYGOLD,Sky Gold & Diamonds Ltd,4927
NDRINVIT,NDR INVIT Trust,4911
ICRA,ICRA Ltd,4829
SAPPHIRE,Sapphire Foods India Ltd,4816
PARAS,Paras Defence and Space Technologies Ltd,4800
SAATVIKGL,Saatvik Green Energy Ltd,4784
IRBINVIT,IRB InvIT Fund,4765
SYMPHONY,Symphony Ltd,4719
BANARISUG,Bannari Amman Sugars Ltd,4719
RUSTOMJEE,Keystone Realtors Ltd,4712
CEIGALL,Ceigall India Ltd,4709
IONEXCHANG,Ion Exchange (India) Ltd,4699
BALUFORGE,Balu Forge Industries Ltd,4689
,Dhenu Buildcon Infra Ltd,4676
PTC,PTC India Ltd,4667
CCAVENUE,AvenuesAI Ltd,4664
FEDFINA,Fedbank Financial Services Ltd,4642
AJAXENGG,Ajax Engineering Ltd,4604
PILANIINVS,Pilani Investment & Industries Corporation Ltd,4593
RAYMONDLSL,Raymond Lifestyle Ltd,4592
MHRIL,Mahindra Holidays & Resorts India Ltd,4570
SENCO,Senco Gold Ltd,4566
ELECTCAST,Electrosteel Castings Ltd,4551
DBREALTY,Valor Estate Ltd,4548
SUPRIYA,Supriya Lifescience Ltd,4548
BAJAJCON,Bajaj Consumer Care Ltd,4532
NIRLON,Nirlon Ltd,4517
JAMNAAUTO,Jamna Auto Industries Ltd,4480
ASHAPURMIN,Ashapura Minechem Ltd,4399
MAPMYINDIA,C.E. Info Systems Ltd,4391
GULFOILLUB,Gulf Oil Lubricants India Ltd,4380
CMSINFO,CMS Info Systems Ltd,4371
AHLUCONT,Ahluwalia Contracts (India) Ltd,4369
CRAMC,Canara Robeco Asset Management Company Ltd,4345
LUMAXIND,Lumax Industries Ltd,4340
CARERATING,CARE Ratings Ltd,4326
VIPIND,V I P Industries Ltd,4294
GOKEX,Gokaldas Exports Ltd,4255
NETWORK18,Network 18 Media & Investments Ltd,4245
GANESHHOU,Ganesh Housing Ltd,4231
JUNIPER,Juniper Hotels Ltd,4228
E2E,E2E Networks Ltd,4222
THOMASCOOK,Thomas Cook (India) Ltd,4212
SEITINVIT,Sustainable Energy Infra Trust,4212
SMARTWORKS,Smartworks Coworking Spaces Ltd,4193
CHEMPLASTS,Chemplast Sanmar Ltd,4179
GUJALKALI,Gujarat Alkalies & Chemicals Ltd,4174
MASTEK,Mastek Ltd,4164
VSTTILLERS,VST Tillers Tractors Ltd,4154
MIDWESTLTD,Midwest Ltd,4143
SUBROS,Subros Ltd,4141
PNCINFRA,PNC Infratech Ltd,4106
SURYAROSNI,Surya Roshni Ltd,4090
VRLLOG,VRL Logistics Ltd,4088
CENTUM,Centum Electronics Ltd,4076
RTNPOWER,RattanIndia Power Ltd,4065
SHILCTECH,Shilchar Technologies Ltd,4064
SHARDAMOTR,Sharda Motor Industries Ltd,4057
MBAPL,Madhya Bharat Agro Products Ltd,4035
KSCL,Kaveri Seed Company Ltd,4019
TVSSCS,TVS Supply Chain Solutions Ltd,4017
SWARAJENG,Swaraj Engines Ltd,4016
EBGNG,GNG Electronics Ltd,4015
AURIONPRO,Aurionpro Solutions Ltd,4006
SUNTECK,Sunteck Realty Ltd,3999
SIS,SIS Ltd,3958
HAWKINCOOK,Hawkins Cookers Ltd,3944
INNOVACAP,Innova Captab Ltd,3934
BAJAJELEC,Bajaj Electricals Ltd,3926
BAJAJHIND,Bajaj Hindusthan Sugar Ltd,3917
GHCL,GHCL Ltd,3888
PURVA,Puravankara Ltd,3876
CAPILLARY,Capillary Technologies India Ltd,3796
JSFB,Jana Small Finance Bank Ltd,3788
VMART,V-Mart Retail Ltd,3777
DATAMATICS,Datamatics Global Services Ltd,3762
SKIPPER,Skipper Ltd,3761
TANFACIND,Tanfac Industries Ltd,3738
SPARC,Sun Pharma Advanced Research Company Ltd,3719
PDSL,PDS Ltd,3689
ZOTA,Zota Health Care Ltd,3688
STYLAMIND,Stylam Industries Ltd,3661
,City Pulse Multiventures Ltd,3652
IFBIND,IFB Industries Ltd,3624
NIITMTS,NIIT Learning Systems Ltd,3604
KMEW,Knowledge Marine & Engineering Works Ltd,3604
HCC,Hindustan Construction Company Ltd,3597
UNIMECH,Unimech Aerospace and Manufacturing Ltd,3594
RAIN,Rain Industries Ltd,3591
SEAMECLTD,SEAMEC Ltd,3583
GMMPFAUDLR,GMM Pfaudler Ltd,3568
,ASM Technologies Ltd,3546
RTNINDIA,RattanIndia Enterprises Ltd,3543
BANSALWIRE,Bansal Wire Industries Ltd,3529
SMSPHARMA,SMS Pharmaceuticals Ltd,3509
SUVEN,Suven Life Sciences Ltd,3504
AGIIL,AGI Infra Ltd,3500
SUNFLAG,Sunflag Iron & Steel Company Ltd,3495
FOSECOIND,Foseco India Ltd,3494
EPIGRAL,Epigral Ltd,3493
SENORES,Senores Pharmaceuticals Ltd,3490
SWSOLAR,Sterling & Wilson Renewable Energy Ltd,3478
STYL,Seshaasai Technologies Ltd,3460
TECHNVISN,TechNVision Ventures Ltd,3448
TRUALT,TruAlt Bioenergy Ltd,3440
INDRAMEDCO,Indraprastha Medical Corporation Ltd,3407
VSTIND,VST Industries Ltd,3397
INDIGOPNTS,Indigo Paints Ltd,3394
EMIL,Electronics Mart India Ltd,3392
,Colab Platforms Ltd,3390
RESPONIND,Responsive Industries Ltd,3378
WPIL,WPIL Ltd,3378
AVANTEL,Avantel Ltd,3360
RBA,Restaurant Brands Asia Ltd,3341
NORTHARC,Northern Arc Capital Ltd,3339
DBCORP,D B Corp Ltd,3325
ORIENTELEC,Orient Electric Ltd,3324
OSWALPUMPS,Oswal Pumps Ltd,3306
SHANTIGEAR,Shanthi Gears Ltd,3304
MAHLOG,Mahindra Logistics Ltd,3292
TARC,TARC Ltd,3292
VISHNU,Vishnu Chemicals Ltd,3284
GOODLUCK,Goodluck India Ltd,3273
ARTEMISMED,Artemis Medicare Services Ltd,3249
,Kesar India Ltd,3243
JKIL,J Kumar Infraprojects Ltd,3225
SINDHUTRAD,Sindhu Trade Links Ltd,3212
ANUP,The Anup Engineering Ltd,3207
TEXRAIL,Texmaco Rail & Engineering Ltd,3206
DALMIASUG,Dalmia Bharat Sugar & Industries Ltd,3198
ANZEN,Anzen India Energy Yield Plus Trust,3196
SHOPERSTOP,Shoppers Stop Ltd,3190
KNRCON,KNR Constructions Ltd,3186
HEMIPROP,Hemisphere Properties India Ltd,3183
ITDC,India Tourism Development Corporation Ltd,3178
MANINFRA,Man Infraconstruction Ltd,3177
NFL,National Fertilizer Ltd,3170
BALAMINES,Balaji Amines Ltd,3166
GRMOVER,GRM Overseas Ltd,3162
AEROFLEX,Aeroflex Industries Ltd,3156
STYRENIX,Styrenix Performance Materials Ltd,3149
INDOTHAI,Indo Thai Securities Ltd,3147
GOPAL,Gopal Snacks Ltd,3141
HEIDELBERG,HeidelbergCement India Ltd,3107
POCL,Pondy Oxides & Chemicals Ltd,3091
CRIZAC,Crizac Ltd,3077
PAISALO,Paisalo Digital Ltd,3070
WONDERLA,Wonderla Holidays Ltd,3067
INDOSTAR,Indostar Capital Finance Ltd,3064
EMUDHRA,eMudhra Ltd,3064
RPGLIFE,RPG Life Sciences Ltd,3060
PACEDIGITK,Pace Digitek Ltd,3040
SANATHAN,Sanathan Textiles Ltd,3040
AGI,AGI Greenpac Ltd,3031
GOLDIAM,Goldiam International Ltd,3029
OMNI,Omnitech Engineering Ltd,3025
ROLEXRINGS,Rolex Rings Ltd,3022
